Car #,Wendy's #,VC #,Site Name,Address,City,ST,Zip,Phone,District Manager,DAO,IT Tech,Maintenance Tech,Phone Provider,Phone Account Number,Phone Cost,Internet Provider,Internet Account Number,Internet Speeds,Internet Cost,HASP
127,7953,487,Robinsonville,12832 US HWY 61 N,ROBINSONVILLE,MS,38664,662.363.7663,Kelvin Cartwright,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,DSR,,25.0M x 5.0M,106.23,246504
128,8442,521,Craft-Goodman,7985 CRAFT-GOODMAN Rd,OLIVE BRANCH,MS,38654,662.893.4060,Kelvin Cartwright,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,DSR,,25.0M x 5.0M,259.18,246505
129,8446,518,Hernando,593 COMMERCE St,HERNANDO,MS,38632,662.429.0630,Kelvin Cartwright,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,DSR,,75.0M x 15.0M,10,246506
130,8465,525,Alabama St,101 ALABAMA St,COLUMBUS,MS,39702,662.244.8725,Latoya Ware,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,DSR,,50.0M x 5.0M,98.62,246487
131,8893,659,N Gloster,3324 N GLOSTER,TUPELO,MS,38804,662.620.6492,Peter Garner,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,DSR,,25.0M x 5.0M,106.23,246498
132,8898,675,New Albany,704 COULTER Dr,NEW ALBANY,MS,38652,662.534.9948,Peter Garner,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,Verizon,,varies,4,246499
133,9134,818,Greenville MLK,1835 S. Martin Luther King Blvd,GREENVILLE,MS,38701,662.332.3131,Ternarian Smith,Greg Jones,Steven Lee,,Verizon,2872 8407 4750,,Viking Cloud,,0,,246481
134,9665,1221,Hacks Cross,7059 HACKS CROSS Rd,OLIVE BRANCH,MS,38654,662.890.8957,Kelvin Cartwright,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,Viking Cloud,,0,,246507
135,9879,1525,W Main St,2435 W MAIN St,TUPELO,MS,38801,662.844.1171,Peter Garner,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,Comcast,,0,106.23,246500
136,9700,1545,Aberdeen,810 Hwy 25 S,ABERDEEN,MS,39730,662.369.7437,Latoya Ware,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,,DSR,,20.0M x 2.0M,14,246488
137,9706,1546,Fulton,415 INTERCHANGE Dr,FULTON,MS,38843,662.862.3393,Peter Garner,Greg Jones,Mitchel Page,,FTC,1106091,11,Fulton Telephone Company,1106091,0,80,246501
138,9884,1547,Hwy 4,6738 HWY 49,HATTIESBURG,MS,39402,601.261.3993,Kimberly Roberts,Greg Jones,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,75.0M x 15.0M,183.3,246537
139,9967,1653,Louisville,325 Hwy 15 S,LOUISVILLE,MS,39339,662.773.6096,Peter Garner,Greg Jones,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,1.5M x 384k,65.7,246489
140,9972,1720,Pontotoc,163 Hwy 15 N,PONTOTOC,MS,38863,662.489.9265,Peter Garner,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,DSR,,60.0M x 6.0M,238.92,246502
141,10953,3173,North Hills,2705 NORTH HILLS STREET,MERIDIAN,MS,39305,601.693.4638,Crystal Jones,Greg Jones,Steven Lee,,Verizon,2872 8407 4750,,DSR,,25.0M x 5.0M,106.23,246541
142,11041,3372,Starkville,100 Hwy 12 W,STARKVILLE,MS,39759,662.324.2929,Peter Garner,Greg Jones,Mitchel Page,,Verizon,,,DSR,,18.0M x 1.5M,76.7,246490
144,11221,4121,West Point,312 Hwy 45 Alt N,WEST POINT,MS,39773,662.494.9658,Peter Garner,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,DSR,,0,10,246491
145,11057,3854,Batesville,651 Hwy 6 E,BATESVILLE,MS,38606,662.563.3119,Ternarian Smith,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,DSR,,45.0M x 6.0M,91.7,246508
146,11043,3249,Holly Springs,1585 MARY VANCE LOOP,HOLLY SPRINGS,MS,38635,662.551.4149,Kelvin Cartwright,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,107.36,TURNKEY,,0,99.99,246509
147,11058,4018,Cleveland,801 N DAVIS,CLEVELAND,MS,38732,662.846.6090,Ternarian Smith,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,DSR,,50.0M x 5.0M,98.62,246482
148,3064,4193,Greenwood,816 W PARK,GREENWOOD,MS,38930,662.455.3321,Ternarian Smith,Greg Jones,Steven Lee,,Verizon,2872 8407 4750,,DSR,,50.0M x 8.0M,109.56,246483
149,11239,389,Clarksdale,623 STATE St,CLARKSDALE,MS,38614,662.624.4076,Ternarian Smith,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,DSR,,50.0M x 5.0M,98.62,246484
150,11283,4393,Corinth,801 Hwy 72 E,CORINTH,MS,38834,662.284.0812,Peter Garner,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,DSR,,75.0M x 15.0M,182.95,246503
152,2852,262,Columbus,1903 Hwy 45 N,COLUMBUS,MS,39701,662.328.2584,Latoya Ware,Greg Jones,Mitchel Page,,TURNKEY,0,41.99,TURNKEY,,0,129.99,246485
154,12059,181209,Oakland,6925 Hwy 64,OAKLAND,TN,38060,901.361.2417,Kelvin Cartwright,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,23.56,DSR,,18.0M x 1.5M,,236514
155,12185,182109,Southaven,465 Church Road West,SOUTHAVEN,MS,38672,662.996.7058,Kelvin Cartwright,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,Comcast,,0,10,246381
156,11980,188184,Arlington,5811 AIRLINE RD,ARLINGTON,TN,38002,901.605.8168,Kelvin Cartwright,Greg Jones,Mitchel Page,,Verizon,2872 8407 4750,,Comcast,,0,93.85,
202,1411,1411,Jackson,4920 I-55 NORTH,JACKSON,MS,39211,601.981.4694,Jessica Washington,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,75.0M x 15.0M,182.95,246510
212,1667,357,Lakeland Dr,3508 LAKELAND DRIVE,FLOWOOD,MS,39232,601.936.9037,Edd Lyon,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,25.0M x 5.0M,106.23,246528
213,1828,358,Old Canton Rd,7001 OLD CANTON RD,RIDGELAND,MS,39157,601.853.0440,Edd Lyon,Craig Cabala,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,18.0M x 1.0M,91.7,246529
214,1829,179166,Clinton,310 HWY 80 EAST,CLINTON,MS,39056,601.924.6838,Don Sapp,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,25.0M x 5.0M,106.23,246521
215,1830,179167,Orme Dr,10 ORME DRIVE,VICKSBURG,MS,39180,601.636.0630,Don Sapp,Craig Cabala,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,100.0M x 5.0M,207.65,246516
216,1831,179172,Yazoo City,232 N JERRY CLOWER BLVD,YAZOO CITY,MS,39194,662.746.2242,Don Sapp,Craig Cabala,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,6.0M x 768k,67.7,246517
217,2058,179168,Hazlehurst,155 MARKET PLACE,HAZLEHURST,MS,39083,601.894.1800,Richie Karl,Charlie Crawford,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,45.0M x 6.0M,113.71,246522
218,2075,363,Byram,5581 I-55 SOUTH,BYRAM,MS,39272,601.372.1300,Edd Lyon,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,75.0M x 15.0M,10,246512
219,2278,179169,Tallulah,132 HWY 65 SOUTH,TALLULAH,LA,71282,318.574.8684,Don Sapp,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,10.0M x 10.0M,82.5,246518
220,2409,365,Columbia,515 HWY 98 BYPASS,COLUMBIA,MS,39429,601.736.9555,Kimberly Roberts,Greg Jones,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,3.0M x 512k,66.7,246523
221,2408,345,Brandon,105 PLAZA DRIVE EXT,FLOWOOD,MS,39232,601.992.8555,Edd Lyon,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,75.0M x 15.0M,10,246530
223,7964,179170,Ridgeland,826 E COUNTY LINE RD,RIDGELAND,MS,39157,601.978.3947,Edd Lyon,Craig Cabala,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,25.0M x 5.0M,106.23,246524
224,9112,179171,Pearl,310 S PEARSON,PEARL,MS,39208,601.420.5963,Edd Lyon,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,24.0M x 3.0M,76.93,246531
225,8894,179173,Bastrop,2023 E MADISON,BASTROP,LA,71220,318.556.3818,Arthur Wilson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,3.0M x 512k,67.05,246519
226,9101,179174,Winnsboro,3328 FRONT STREET,WINNSBORO,LA,71295,318.435.8858,Arthur Wilson,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,6.0M x 768k,168.05,246520
228,12175,179130,Gluckstadt,1251 GLUCKSTADT RD,MADISON,MS,39110,601.431.0167,Don Sapp,Craig Cabala,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,Comcast,,0,,246532
229,10951,1980,Ellis Ave,1510 ELLIS AVENUE,JACKSON,MS,39204,601.949.5529,Jessica Washington,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,Comcast,,0,,246513
231,10952,2041,High St,1240 HIGH STREET,JACKSON,MS,39202,601.961.1713,Edd Lyon,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,25.0M x 5.0M,106.23,246514
233,10949,3425,Waynesboro,1300 AZALEA DRIVE,WAYNESBORO,MS,39367,601.671.3784,Crystal Jones,Greg Jones,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,12.0M x 1.0M,15.3,246542
234,11034,179165,Brookhaven,935 BROOKWAY BLVD,BROOKHAVEN,MS,39601,601.833.3101,Richie Karl,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,50.0M x 5.0M,98.62,246525
236,11036,3063,HWY 18,4750 HWY 18,JACKSON,MS,39209,601.922.8160,Don Sapp,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,DSR,,25.0M x 5.0M,106.23,246515
237,9994,1850,Lake Forgetful,6 LAKE FORGETFUL DRIVE,HATTIESBURG,MS,39402,601.261.3265,Kimberly Roberts,Greg Jones,Barry Russell,,Verizon,2872 8407 4750,,DSR,,25.0M x 5.0M,106.23,246538
238,11235,179176,Vicksburg,4207 CLAY STREET,VICKSBURG,MS,39183,601.631.2732,Don Sapp,Craig Cabala,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,45.0M x 6.0M,113.7,246546
239,11039,3136,Laurel,1955 HWY 15,LAUREL,MS,39440,601.649.4934,Crystal Jones,Greg Jones,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,Comcast,,0,10,246543
240,1415,179175,McComb,1620 DELAWARE AVENUE,MCCOMB,MS,39648,601.684.6787,Richie Karl,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,107.36,DSR,,50.0M x 5.0M,98.62,246527
242,3694,11360,Highway 49,9455 HWY 49,GULFPORT,MS,39503,228.868.1400,Cindy Powery,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,Sparklight,,0,,133919
243,3387,11200,Pass Rd,22 PASS ROAD,GULFPORT,MS,39507,228.864.6122,Jonathan Burchard,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,Viking Cloud,,0,,132025
244,3072,11238,Edgewater,2640 W BEACH BLVD,BILOXI,MS,39531,228.388.1997,Cindy Powery,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,24M x 3M,91.7,201013
245,4026,11201,Picayune,199 MEMORIAL BLVD,PICAYUNE,MS,39466,601.798.5590,Cindy Powery,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,100.0M x 10.0M,129.56,291200
247,9689,11203,Orange Grove,12102 HWY 49,GULFPORT,MS,39503,228.328.0158,Cindy Powery,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,24.0M x 3.0M,91.7,201012
249,12170,180151,North Crossing,108 N. Crossing Drive,MCCOMB,MS,39648,601.730.0275,Richie Karl,Charlie Crawford,Barry Russell,,Verizon,0,,ATT,,0,,246650
250,12955,190140,Costco,675 Highland Colony Pkwy,RIDGELAND,MS,39158,601.473.3007,Jessica Washington,Craig Cabala,Steven Lee,,AT&T Cellular,2872 8407 4750,26.32,Comcast,,0,116.3,218543
251,10468,5124,Northside,235 W NORTHSIDE DR,JACKSON,MS,39206,601.981.3449,Jessica Washington,Craig Cabala,Steven Lee,,Verizon,2872 8407 4750,,Comcast,,0,282.15,246545
253,1971,3222,Forest,1302 HWY 35 S,FOREST,MS,39074,601.469.5456,Crystal Jones,Greg Jones,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,20.0M x 2.0M,92.95,246548
254,5332,3218,Philadelphia,398 W MAIN ST,PHILADELPHIA,MS,39350,601.656.5040,Crystal Jones,Greg Jones,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,35.0M x 3.0M,133.52,246549
257,11362,179177,Natchez,288 SGT PRENTISS DR,NATCHEZ,MS,39120,601.897.0333,Richie Karl,Charlie Crawford,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,50.0M x 5.0M,98.62,246547
261,2685,15511,Bay St Louis,1001 HWY 90,BAY ST LOUIS,MS,39520,228.463.0906,Cindy Powery,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,24.0M x 3.0M,76.7,246551
262,8568,15512,D'iberville,3681 SANGANI BLVD,DIBERVILLE,MS,39540,228.354.8042,Jonathan Burchard,Charlie Crawford,Barry Russell,,AT&T Cellular,0,107.36,Sparklight,,0,,246552
263,8574,179178,Pascagoula,3421 DENNY AVENUE,PASCAGOULA,MS,39581,228.769.1495,Cindy Powery,Charlie Crawford,Barry Russell,,TURNKEY,0,70,TURNKEY,,0,129.99,246553
264,8576,179179,Moss Point,6533 HWY 63,MOSS POINT,MS,39563,228.474.1645,Cindy Powery,Charlie Crawford,Barry Russell,,Verizon,2872 8407 4750,,DSR,,24.0M x 3.0M,76.69,246554
265,8577,179180,Gulfport,9373 CANAL RD,GULFPORT,MS,39503,228.863.0151,Jonathan Burchard,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,50.0M x 5.0M,98.62,246555
266,9331,179181,GAUTIER,2605 HWY 90,GAUTIER,MS,39553,228.497.6618,Cindy Powery,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,18.0M x 1.5M,76.7,246556
267,9729,15517,Wiggins,1051 E FRONTAGE RD,WIGGINS,MS,39577,601.928.2102,Richie Karl,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,15.0M x 5.0M,123.45,246557
268,9966,15518,Ocean Springs,7521 WASHINGTON ST,OCEAN SPRINGS,MS,39564,228.872.6449,Jonathan Burchard,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,45.0M x 6.0M,113.71,246558
271,2149,178229,Bert Kouns,2534 BERT KOUNS IND LOOP,SHREVEPORT,LA,71118,318.688.6808,Debbie Anderson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,75.0M x 15.0M,10,236771
272,2150,178230,Kings Hwy,450 KINGS HWY,SHREVEPORT,LA,71104,318.459.2215,Debbie Anderson,Craig Cabala,Hailey Nowell,,AT&T Cellular,0,27.36,DSR,,25.0M x 5.0M,106.23,236770
273,2151,178231,Pines Dr,6710 PINES ROAD,SHREVEPORT,LA,71129,318.688.8727,Cody Smith,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,Comcast,,0,10,236769
274,2155,178232,E Burt Kouns,113 E BERT KOUNS IND LOOP,SHREVEPORT,LA,71106,318.688.4133,Debbie Anderson,Craig Cabala,Hailey Nowell,,Verizon,2872 8407 4750,,Verizon,,0,4,236768
275,2271,178233,Marshall,1511 E END BLVD N,MARSHALL,TX,75670,903.927.1229,Cody Smith,Craig Cabala,Hailey Nowell,,TURNKEY,0,70,TURNKEY,,0,68.05,236767
276,2410,178234,Minden,401 HOMER ROAD,MINDEN,LA,71055,318.377.9006,Cody Smith,Craig Cabala,Hailey Nowell,,Verizon,0,,DSR,,12.0M x 1.0M,77,236766
277,2592,178235,Bossier City,2115 OLD MINDEN RD,BOSSIER CITY,LA,71112,318.742.8008,Cody Smith,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,107.36,DSR,,50.0M x 8.0M,109.56,236765
278,2593,178236,Shreveport,1287 SHREVEPORT-BARKSDALE HWY,SHREVEPORT,LA,71105,318.219.2127,Debbie Anderson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,0,188.71,236795
279,2634,178237,Airline Dr,2780 AIRLINE DRIVE,BOSSIER CITY,LA,71111,318.746.7079,Debbie Anderson,Craig Cabala,Hailey Nowell,,TURNKEY,0,70,Verizon,,0,129.99,236796
280,7950,178238,Barksdale,4914 BARKSDALE BLVD,BOSSIER CITY,LA,71112,318.747.6789,Debbie Anderson,Craig Cabala,Hailey Nowell,,AT&T Cellular,0,,DSR,,50.0M x 8.0M,109.56,236797
282,8230,178239,Youree Drive,8586 YOUREE DRIVE,SHREVEPORT,LA,71115,318.798.6343,Debbie Anderson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,25.0M x 5.0M,106.23,236799
283,8487,178240,Line Ave,6412 LINE AVENUE,SHREVEPORT,LA,71106,318.865.2913,Debbie Anderson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,,DSR,,25.0M x 5.0M,10,236800
284,8489,178250,W Burt Kouns,6934 W BERT KOUNS IND LOOP,SHREVEPORT,LA,71129,318.687.2107,Cody Smith,Craig Cabala,Hailey Nowell,,TURNKEY,0,,DSR,,25.0M x 5.0M,106.23,236801
285,9725,178241,Industrial,3900 INDUSTRIAL DRV,BOSSIER CITY,LA,71112,318.746.7840,Cody Smith,Craig Cabala,Hailey Nowell,,Verizon,2872 8407 4750,,DSR,,50.0M x 8.0M,109.56,236802
286,9771,178242,North Market St,1529 N MARKET ST,SHREVEPORT,LA,71107,318.681.0971,Cody Smith,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,75.0M x 15.0M,10,236803
287,10426,178243,Hearne Ave,3820 HEARNE AVENUE,SHREVEPORT,LA,71108,318.635.1183,Cody Smith,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,75.0M x 15.0M,10,236804
288,11866,175202,N. Market,5796 N. Market Street,SHREVEPORT,LA,71107,318.505.3692,Debbie Anderson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,25.0M x 5.0M,106.23,291443
291,2817,178244,Thomas Rd,109 Thomas Rd.,WEST MONROE,LA,71291,318.322.8883,Arthur Wilson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,107.36,DSR,,25.0M x 5.0M,106.23,138470
292,13397,178245,MLK Dr,2010 Center ST.,MONROE,LA,71202,318.323.7485,Arthur Wilson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,75.0M x 15.0M,10,136298
293,3941,178246,Sterlington,1004 Sterlington Rd.,MONROE,LA,71203,318.343.6108,Arthur Wilson,Craig Cabala,Hailey Nowell,,Verizon,2872 8407 4750,,DSR,,250M x 25M,10,138469
294,4961,178247,N Trenton,1400 N. Trenton St.,RUSTON,LA,71270,318.251.2515,Arthur Wilson,Craig Cabala,Hailey Nowell,,Verizon,2872 8407 4750,,DSR,,50.0M x 8.0M,109.56,138467
296,9887,178248,Desiard St,7818 Desiard Street,MONROE,LA,71203,318.342.9150,Arthur Wilson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,27.36,Comcast,,0,142.04,138451
297,2772,178249,North 18th,1013 North 18th,MONROE,LA,71201,318.325.8695,Arthur Wilson,Craig Cabala,Hailey Nowell,,AT&T Cellular,2872 8407 4750,,DSR,,25.0M x 5.0M,106.23,138471
298,13563,,Cypress,4925 Cypress St,W. MONROE,LA,71291,318.953.7915,Arthur Wilson,Craig Cabala,Hailey Nowell,,0,0,,,,0,,
301,2783,10629,Ninth Ave,5685 N 9TH AVE,PENSACOLA,FL,32504,850.477.3566,Nancy Lopez,N/A,David Stover,,COX,0,,COX,,0,112.89,291193
302,2840,10651,Government,959 GOVERNMENT BLVD,MOBILE,AL,36604,251.438.4987,Amber Roessling,Charlie Crawford,Barry Russell,,Comcast,0,,Comcast,,0,308.74,272232
304,2997,10665,Troy,1101 HIGHWAY 231 S,TROY,AL,36081,334.566.3386,Don Zimmerman,N/A,Scott Watkins,,Troy,10924936,,Troy Cable,,0,,272202
305,3101,10666,Enterprise,1002 FORT RUCKER BLVD.,ENTERPRISE,AL,36330,334.347.7056,Don Zimmerman,N/A,Scott Watkins,,Century Link,473822367,,Spectrum,,0,,272234
306,3148,10630,Davis Hwy,7012 N DAVIS HWY,PENSACOLA,FL,32504,850.477.3610,Nancy Lopez,N/A,David Stover,,AT&T Cellular,2872 8407 4750,27.36,COX,,0,112.89,272206
308,3198,10631,Mary Esther,441 MARY ESTHER BLVD,MARY ESTHER,FL,32569,850.244.0828,Troy Ridgley,N/A,David Stover,,Verizon,2872 8407 4750,,DSR,,28.0M x 4.0M,112.89,272207
311,3573,10633,Eglin,145 Eglin Pkwy NE,FT.WALTON BCH,FL,32548,850.243.5048,Troy Ridgley,N/A,David Stover,,COX,0,,COX,,0,,272213
314,3703,10635,Fairfield,1706 WEST FAIRFIELD Dr,PENSACOLA,FL,32501,850.432.0208,Nancy Lopez,N/A,David Stover,,COX,1.35018E+11,,COX,,0,,272224
315,3948,10668,Eufaula,1010 S EUFAULA AVE,EUFAULA,AL,36027,334.687.2140,Don Zimmerman,N/A,Scott Watkins,,AT&T Cellular,2872 8407 4750,27.36,AT&T  Uverse,,0,,272236
316,4063,10654,Bel Air Mall,3113 AIRPORT BLVD.,MOBILE,AL,36606,251.473.7501,Amber Roessling,Charlie Crawford,Barry Russell,,Comcast,0,,Comcast,,25.0M x 5.0M,106.23,218639
317,4071,11086,Callaway,109 S Tyndall Pkwy,CALLAWAY,FL,32404,850.769.3907,April Krieg,N/A,Scott Watkins,,AT&T Cellular,2872 8407 4750,27.12,DSR,,25.0M x 5.0M,106.23,272203
318,4418,10656,Schillinger,425 SCHILLINGER ROAD SOUTH,MOBILE,AL,36608,251.633.7543,Amber Roessling,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,AT&T  Uverse,,0,,272201
319,4597,10637,Milton,6477 HIGHWAY 90 WEST,MILTON,FL,32570,850.626.9105,Troy Ridgley,N/A,David Stover,,Media Comm,0,,Media Comm,,0,,272215
320,4640,11087,23rd Street,610 W. 23RD STREET,PANAMA CITY,FL,32405,850.763.7800,April Krieg,N/A,Scott Watkins,,BCN,BOC07946,,Viking Cloud,,0,,272204
321,12048,183130,Saraland,809 SARALAND Blvd,SARALAND,AL,36571,251.214.3539,Amber Roessling,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,22.81,Comcast,,0,,250601
322,4944,11089,Thomas Dr,8720 THOMAS DRIVE,PANAMA CITY BCH,FL,32408,850.233.0100,April Krieg,N/A,Scott Watkins,,Verizon,BOC07946,,Comcast,,0,,272221
323,5106,10639,Crestview,3705 S. FERDON BLVD,CRESTVIEW,FL,32536,850.689.1224,Troy Ridgley,N/A,Scott Watkins,,AT&T Cellular,2872 8407 4750,27.36,COX,,0,112.89,272205
324,5186,10650,Foley,2501 S. MCKENZIE ST,FOLEY,AL,36535,251.943.1656,Garry Hamilton,Charlie Crawford,David Stover,,COX,17945401,,Century Link,,0,,272211
325,5252,10643,Chipley,1715 MAIN STREET,CHIPLEY,FL,32428,850.638.5300,April Krieg,N/A,Scott Watkins,,Bright House,0,,Bright House/Spectrum,,0,,272218
